zhAddress,zhLink,zhName,zhNum,zhTime,zhType
深圳,position_detail.php?id=47325&keywords=&tid=0&lid=0,22989-腾讯云直播生态经理,2,2019-01-30,产品/项目类
深圳,position_detail.php?id=47326&keywords=&tid=0&lid=0,22989-基础产品运营经理,2,2019-01-30,产品/项目类
深圳,position_detail.php?id=47327&keywords=&tid=0&lid=0,18796-平台运营经理(深圳),3,2019-01-30,产品/项目类
深圳,position_detail.php?id=47316&keywords=&tid=0&lid=0,28481-医疗应用开发高级工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47317&keywords=&tid=0&lid=0,25925-数据挖掘工程师,2,2019-01-30,技术类
深圳,position_detail.php?id=47318&keywords=&tid=0&lid=0,CSIG07-基础安全威胁情报分析师,4,2019-01-30,技术类
深圳,position_detail.php?id=47319&keywords=&tid=0&lid=0,CSIG07-业务威胁情报分析师,1,2019-01-30,技术类
深圳,position_detail.php?id=47320&keywords=&tid=0&lid=0,CSIG07-业务威胁情报分析师,2,2019-01-30,技术类
北京,position_detail.php?id=47281&keywords=&tid=0&lid=0,PCG04-腾讯新闻高级Android开发工程师（北京）,1,2019-01-30,技术类
深圳,position_detail.php?id=47282&keywords=&tid=0&lid=0,28481-医疗健康后台开发工程师（深圳）,3,2019-01-30,技术类
北京,position_detail.php?id=47283&keywords=&tid=0&lid=0,23674-策略评测产品经理,1,2019-01-30,产品/项目类
北京,position_detail.php?id=47284&keywords=&tid=0&lid=0,CSIG07-云平台安全工程师（北京）,1,2019-01-30,技术类
香港,position_detail.php?id=47274&keywords=&tid=0&lid=0,28605-321 微信境外支付高级区域经理（香港）,1,2019-01-30,市场类
深圳,position_detail.php?id=47276&keywords=&tid=0&lid=0,28601-211 智慧零售时尚品牌行业运营经理 （深圳/上海）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47277&keywords=&tid=0&lid=0,30360-内容运营产品经理,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47278&keywords=&tid=0&lid=0,30360-内容安全产品运营经理,1,2019-01-30,产品/项目类
北京,position_detail.php?id=47279&keywords=&tid=0&lid=0,22851-腾讯视频电影内容与剧本评估（北京）,1,2019-01-30,内容编辑类
深圳,position_detail.php?id=47268&keywords=&tid=0&lid=0,30629-腾讯广告高级公关传播经理（产品传播方向）,1,2019-01-30,市场类
深圳,position_detail.php?id=47307&keywords=&tid=0&lid=0,18432-浮动收益产品运营经理,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47308&keywords=&tid=0&lid=0,AQ-安全品牌经理（深圳）,2,2019-01-30,市场类
